,contractSymbol,lastTradeDate,strike,lastOptionPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration
0,AAPL250606C00110000,2025-05-30 19:59:31+00:00,110.0,91.2,89.7,91.9,-0.9600067,-1.0416739,28.0,62.0,3.0859397851562496,True,REGULAR,USD,call,2025-06-06
1,AAPL250606C00120000,2025-05-19 13:48:16+00:00,120.0,84.87,80.4,81.9,0.0,0.0,3.0,4.0,2.160160849609375,True,REGULAR,USD,call,2025-06-06
2,AAPL250606C00125000,2025-05-28 13:34:47+00:00,125.0,76.9,75.45,76.95,0.0,0.0,1.0,7.0,2.058598603515625,True,REGULAR,USD,call,2025-06-06
3,AAPL250606C00130000,2025-05-21 19:57:22+00:00,130.0,72.75,70.45,71.9,0.0,0.0,2.0,6.0,1.8847662011718749,True,REGULAR,USD,call,2025-06-06
4,AAPL250606C00135000,2025-05-30 14:34:55+00:00,135.0,64.36,65.4,66.95,-9.330002,-12.66115,3.0,6.0,1.7421887890624999,True,REGULAR,USD,call,2025-06-06
5,AAPL250606C00140000,2025-05-30 14:34:55+00:00,140.0,59.35,59.75,61.9,-0.670002,-1.1162978,6.0,11.0,2.003911240234375,True,REGULAR,USD,call,2025-06-06
6,AAPL250606C00145000,2025-05-30 19:07:22+00:00,145.0,54.68,55.4,57.0,-0.9300003,-1.6723616,5.0,11.0,1.4853541357421873,True,REGULAR,USD,call,2025-06-06
7,AAPL250606C00150000,2025-05-29 19:51:44+00:00,150.0,50.02,49.8,51.9,0.0,0.0,5.0,29.0,0.500005,True,REGULAR,USD,call,2025-06-06
8,AAPL250606C00155000,2025-05-23 18:20:44+00:00,155.0,41.0,45.4,47.0,0.0,0.0,6.0,11.0,1.22266013671875,True,REGULAR,USD,call,2025-06-06
9,AAPL250606C00160000,2025-05-30 19:01:35+00:00,160.0,39.54,40.5,41.55,-0.4699974,-1.1746999,49.0,15.0,0.9726565234375,True,REGULAR,USD,call,2025-06-06
10,AAPL250606C00165000,2025-05-30 14:10:48+00:00,165.0,34.22,35.45,37.0,-0.2899971,-0.8403278,2.0,47.0,0.983398603515625,True,REGULAR,USD,call,2025-06-06
11,AAPL250606C00170000,2025-05-30 19:18:07+00:00,170.0,30.1,29.8,31.95,0.059999466,0.1997319,2.0,73.0,0.570316796875,True,REGULAR,USD,call,2025-06-06
12,AAPL250606C00172500,2025-05-22 18:39:43+00:00,172.5,29.81,27.25,29.4,0.0,0.0,,0.0,1.015629921875,True,REGULAR,USD,call,2025-06-06
13,AAPL250606C00175000,2025-05-30 19:52:42+00:00,175.0,25.85,25.2,26.3,1.0799999,4.3601127,1618.0,183.0,0.764650791015625,True,REGULAR,USD,call,2025-06-06
14,AAPL250606C00177500,2025-05-30 16:32:03+00:00,177.5,20.05,23.05,24.2,1.1599998,6.140815,9.0,252.0,0.6323278955078125,True,REGULAR,USD,call,2025-06-06
15,AAPL250606C00180000,2025-05-30 19:56:13+00:00,180.0,22.0,20.6,21.6,2.3500004,11.95929,95.0,136.0,0.5625043750000001,True,REGULAR,USD,call,2025-06-06
16,AAPL250606C00182500,2025-05-30 19:41:21+00:00,182.5,17.85,18.15,18.95,-0.09000015,-0.50167304,31.0,47.0,0.6186561572265626,True,REGULAR,USD,call,2025-06-06
17,AAPL250606C00185000,2025-05-30 19:41:57+00:00,185.0,15.32,15.75,16.55,0.019999504,0.13071571,45.0,242.0,0.5756878369140624,True,REGULAR,USD,call,2025-06-06
18,AAPL250606C00187500,2025-05-30 19:59:28+00:00,187.5,14.15,13.55,13.85,1.0999994,8.429114,80.0,190.0,0.46045461425781253,True,REGULAR,USD,call,2025-06-06
19,AAPL250606C00190000,2025-05-30 19:59:57+00:00,190.0,11.4,11.2,11.55,0.5999994,5.55555,614.0,631.0,0.43604079589843747,True,REGULAR,USD,call,2025-06-06
20,AAPL250606C00192500,2025-05-30 19:58:00+00:00,192.5,10.18,9.0,9.3,1.4800005,17.011501,254.0,209.0,0.40601179931640624,True,REGULAR,USD,call,2025-06-06
21,AAPL250606C00195000,2025-05-30 19:59:47+00:00,195.0,7.25,6.95,7.2,0.53999996,8.047689,2476.0,3701.0,0.3820862573242187,True,REGULAR,USD,call,2025-06-06
22,AAPL250606C00197500,2025-05-30 19:59:55+00:00,197.5,5.35,5.15,5.35,0.3499999,6.9999976,5522.0,1751.0,0.36743796630859377,True,REGULAR,USD,call,2025-06-06
23,AAPL250606C00200000,2025-05-30 19:59:53+00:00,200.0,3.79,3.6,3.75,0.22000003,6.1624656,22811.0,14622.0,0.35352208984374994,True,REGULAR,USD,call,2025-06-06
24,AAPL250606C00202500,2025-05-30 19:59:59+00:00,202.5,2.4,2.36,2.42,0.01999998,0.84033525,22187.0,5697.0,0.33740896972656254,False,REGULAR,USD,call,2025-06-06
25,AAPL250606C00205000,2025-05-30 19:59:58+00:00,205.0,1.45,1.42,1.48,-0.049999952,-3.3333302,27951.0,11657.0,0.33008482421874996,False,REGULAR,USD,call,2025-06-06
26,AAPL250606C00207500,2025-05-30 19:59:59+00:00,207.5,0.83,0.81,0.85,-0.06999999,-7.777777,16135.0,6780.0,0.3259344750976562,False,REGULAR,USD,call,2025-06-06
27,AAPL250606C00210000,2025-05-30 19:59:59+00:00,210.0,0.46,0.44,0.47,-0.06999996,-13.207541,10842.0,11956.0,0.32617861328125,False,REGULAR,USD,call,2025-06-06
28,AAPL250606C00212500,2025-05-30 19:59:56+00:00,212.5,0.26,0.24,0.27,-0.07000002,-21.212128,4984.0,4267.0,0.33399103515625,False,REGULAR,USD,call,2025-06-06
29,AAPL250606C00215000,2025-05-30 19:59:59+00:00,215.0,0.15,0.14,0.15,-0.059999987,-28.571424,5291.0,12214.0,0.340826904296875,False,REGULAR,USD,call,2025-06-06
30,AAPL250606C00217500,2025-05-30 19:59:56+00:00,217.5,0.1,0.08,0.1,-0.04,-28.571426,6018.0,3214.0,0.36035795898437495,False,REGULAR,USD,call,2025-06-06
31,AAPL250606C00220000,2025-05-30 19:59:56+00:00,220.0,0.07,0.05,0.07,-0.020000003,-22.222225,2284.0,9450.0,0.38086556640624997,False,REGULAR,USD,call,2025-06-06
32,AAPL250606C00222500,2025-05-30 19:58:21+00:00,222.5,0.05,0.03,0.05,-0.02,-28.571426,1501.0,928.0,0.40039662109375,False,REGULAR,USD,call,2025-06-06
33,AAPL250606C00225000,2025-05-30 19:58:55+00:00,225.0,0.03,0.03,0.04,-0.020000001,-40.000004,2247.0,14577.0,0.42383388671875,False,REGULAR,USD,call,2025-06-06
34,AAPL250606C00227500,2025-05-30 19:58:05+00:00,227.5,0.03,0.02,0.1,-0.01,-25.0,286.0,2102.0,0.5214891601562499,False,REGULAR,USD,call,2025-06-06
35,AAPL250606C00230000,2025-05-30 19:59:19+00:00,230.0,0.02,0.02,0.03,-0.01,-33.333336,898.0,6860.0,0.476567734375,False,REGULAR,USD,call,2025-06-06
36,AAPL250606C00232500,2025-05-30 19:01:46+00:00,232.5,0.01,0.01,0.03,-0.02,-66.66667,15.0,557.0,0.5117236328125,False,REGULAR,USD,call,2025-06-06
37,AAPL250606C00235000,2025-05-30 19:59:52+00:00,235.0,0.01,0.01,0.02,-0.02,-66.66667,623.0,3605.0,0.500005,False,REGULAR,USD,call,2025-06-06
38,AAPL250606C00240000,2025-05-30 19:58:24+00:00,240.0,0.01,0.01,0.02,-0.01,-50.0,276.0,3067.0,0.5625043750000001,False,REGULAR,USD,call,2025-06-06
39,AAPL250606C00245000,2025-05-30 19:59:15+00:00,245.0,0.01,0.0,0.01,0.0,0.0,220.0,1145.0,0.5625043750000001,False,REGULAR,USD,call,2025-06-06
40,AAPL250606C00250000,2025-05-30 19:38:43+00:00,250.0,0.01,0.0,0.01,0.0,0.0,404.0,2865.0,0.6093789062500001,False,REGULAR,USD,call,2025-06-06
41,AAPL250606C00255000,2025-05-30 17:01:07+00:00,255.0,0.01,0.0,0.01,0.0,0.0,2.0,833.0,0.6562534375000001,False,REGULAR,USD,call,2025-06-06
42,AAPL250606C00260000,2025-05-30 18:13:56+00:00,260.0,0.01,0.0,0.01,0.0,0.0,12.0,1503.0,0.7187528125,False,REGULAR,USD,call,2025-06-06
43,AAPL250606C00265000,2025-05-27 13:48:59+00:00,265.0,0.01,0.0,0.01,0.0,0.0,17.0,106.0,0.7500025,False,REGULAR,USD,call,2025-06-06
44,AAPL250606C00270000,2025-05-30 13:30:11+00:00,270.0,0.01,0.0,0.01,0.0,0.0,1.0,404.0,0.8125018749999999,False,REGULAR,USD,call,2025-06-06
45,AAPL250606C00275000,2025-05-19 15:21:59+00:00,275.0,0.02,0.0,0.02,0.0,0.0,9.0,184.0,0.9062509375,False,REGULAR,USD,call,2025-06-06
46,AAPL250606C00280000,2025-05-27 13:30:01+00:00,280.0,0.02,0.0,0.02,0.0,0.0,1.0,20.0,0.9531254687499999,False,REGULAR,USD,call,2025-06-06
47,AAPL250606C00285000,2025-05-28 15:20:45+00:00,285.0,0.01,0.0,0.02,0.0,0.0,25.0,34.0,0.98437515625,False,REGULAR,USD,call,2025-06-06
48,AAPL250606C00290000,2025-05-27 13:30:01+00:00,290.0,0.01,0.0,0.01,0.0,0.0,90.0,228.0,0.9687503125,False,REGULAR,USD,call,2025-06-06
49,AAPL250606C00295000,2025-05-16 18:32:23+00:00,295.0,0.01,0.0,0.01,0.0,0.0,1.0,23.0,1.0312548437500002,False,REGULAR,USD,call,2025-06-06
50,AAPL250606C00300000,2025-05-13 16:42:41+00:00,300.0,0.02,0.0,0.01,0.0,0.0,105.0,124.0,1.0625046875000002,False,REGULAR,USD,call,2025-06-06
51,AAPL250606C00305000,2025-05-22 16:52:01+00:00,305.0,0.01,0.0,0.01,0.0,0.0,,10.0,1.09375453125,False,REGULAR,USD,call,2025-06-06
52,AAPL250606C00315000,2025-05-01 14:04:25+00:00,315.0,0.05,0.0,0.01,0.0,0.0,,6.0,1.1875040625,False,REGULAR,USD,call,2025-06-06
53,AAPL250606C00320000,2025-05-13 13:44:05+00:00,320.0,0.01,0.0,0.01,0.0,0.0,,1.0,1.21875390625,False,REGULAR,USD,call,2025-06-06
54,AAPL250606C00325000,2025-05-30 17:12:31+00:00,325.0,0.01,0.0,0.01,0.0,0.0,142.0,0.0,1.2500037499999999,False,REGULAR,USD,call,2025-06-06
55,AAPL250606P00110000,2025-05-27 18:50:23+00:00,110.0,0.01,0.0,0.01,0.0,0.0,42.0,285.0,1.625001875,False,REGULAR,USD,put,2025-06-06
56,AAPL250606P00120000,2025-05-27 19:26:56+00:00,120.0,0.01,0.0,0.01,0.0,0.0,89.0,94.0,1.3750031249999999,False,REGULAR,USD,put,2025-06-06
