,contractSymbol,lastTradeDate,strike,lastOptionPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration
0,JNJ250523C00125000,2025-05-15 15:44:16+00:00,125.0,24.25,27.85,28.6,0.0,0.0,,4,1.1953165234375,True,REGULAR,USD,call,2025-05-23
1,JNJ250523C00129000,2025-05-16 14:04:00+00:00,129.0,22.4,24.05,24.55,0.0,0.0,2.0,2,1.19141029296875,True,REGULAR,USD,call,2025-05-23
2,JNJ250523C00130000,2025-04-07 17:53:15+00:00,130.0,22.15,24.0,25.8,0.0,0.0,,7,2.133793728027343,True,REGULAR,USD,call,2025-05-23
3,JNJ250523C00135000,2025-04-07 17:51:44+00:00,135.0,17.85,19.1,21.0,0.0,0.0,,15,1.8408211083984374,True,REGULAR,USD,call,2025-05-23
4,JNJ250523C00140000,2025-05-16 19:52:32+00:00,140.0,11.66,12.95,13.65,0.0,0.0,3.0,23,0.69336244140625,True,REGULAR,USD,call,2025-05-23
5,JNJ250523C00143000,2025-05-16 16:49:57+00:00,143.0,8.45,9.9,10.6,0.0,0.0,11.0,10,0.5039112109375,True,REGULAR,USD,call,2025-05-23
6,JNJ250523C00144000,2025-05-14 15:10:01+00:00,144.0,3.73,8.95,9.65,0.0,0.0,,5,0.5097705273437501,True,REGULAR,USD,call,2025-05-23
7,JNJ250523C00145000,2025-05-21 15:27:27+00:00,145.0,9.31,7.95,8.7,0.6300001,7.2580657,3.0,161,0.6777375976562501,True,REGULAR,USD,call,2025-05-23
8,JNJ250523C00146000,2025-05-21 15:27:27+00:00,146.0,8.34,6.9,7.75,0.53999996,6.923076,3.0,42,0.637698935546875,True,REGULAR,USD,call,2025-05-23
9,JNJ250523C00147000,2025-05-19 16:05:01+00:00,147.0,6.6,5.95,6.75,1.1999998,22.22222,5.0,107,0.57617611328125,True,REGULAR,USD,call,2025-05-23
10,JNJ250523C00148000,2025-05-21 15:30:16+00:00,148.0,5.75,5.0,5.75,-0.55999994,-8.874801,5.0,133,0.5136767382812499,True,REGULAR,USD,call,2025-05-23
11,JNJ250523C00149000,2025-05-21 13:59:19+00:00,149.0,4.78,4.05,4.75,-0.119999886,-2.4489772,1.0,388,0.44922425781249997,True,REGULAR,USD,call,2025-05-23
12,JNJ250523C00150000,2025-05-21 19:12:41+00:00,150.0,3.75,3.25,3.6,-0.25,-6.25,67.0,899,0.335944140625,True,REGULAR,USD,call,2025-05-23
13,JNJ250523C00152500,2025-05-21 19:57:58+00:00,152.5,1.5,1.4,1.46,-0.5,-25.0,464.0,1583,0.24073024902343748,True,REGULAR,USD,call,2025-05-23
14,JNJ250523C00155000,2025-05-21 19:59:42+00:00,155.0,0.34,0.32,0.38,-0.29999998,-46.874996,795.0,2632,0.2304764453125,False,REGULAR,USD,call,2025-05-23
15,JNJ250523C00157500,2025-05-21 19:59:41+00:00,157.5,0.08,0.06,0.09,-0.09,-52.941177,1387.0,2215,0.25391371093750004,False,REGULAR,USD,call,2025-05-23
16,JNJ250523C00160000,2025-05-21 18:55:30+00:00,160.0,0.03,0.02,0.04,-0.020000001,-40.000004,486.0,3863,0.31055376953124997,False,REGULAR,USD,call,2025-05-23
17,JNJ250523C00162500,2025-05-21 19:54:27+00:00,162.5,0.01,0.01,0.02,-0.03,-75.0,27.0,1497,0.35938140625,False,REGULAR,USD,call,2025-05-23
18,JNJ250523C00165000,2025-05-21 14:55:21+00:00,165.0,0.01,0.0,0.25,-0.01,-50.0,1.0,605,0.58789474609375,False,REGULAR,USD,call,2025-05-23
19,JNJ250523C00167500,2025-05-20 14:17:41+00:00,167.5,0.03,0.0,0.02,0.0,0.0,109.0,116,0.51562984375,False,REGULAR,USD,call,2025-05-23
20,JNJ250523C00170000,2025-05-20 15:21:06+00:00,170.0,0.02,0.0,0.15,0.0,0.0,1.0,105,0.70898728515625,False,REGULAR,USD,call,2025-05-23
21,JNJ250523C00175000,2025-04-22 13:48:48+00:00,175.0,0.2,0.0,0.05,0.0,0.0,25.0,27,0.7500025,False,REGULAR,USD,call,2025-05-23
22,JNJ250523C00180000,2025-05-01 19:20:48+00:00,180.0,0.1,0.0,0.58,0.0,0.0,,1,1.2832067089843748,False,REGULAR,USD,call,2025-05-23
23,JNJ250523P00085000,2025-05-08 13:45:05+00:00,85.0,0.13,0.0,0.53,0.0,0.0,,2,3.93750015625,False,REGULAR,USD,put,2025-05-23
24,JNJ250523P00095000,2025-04-25 16:26:46+00:00,95.0,0.66,0.0,0.53,0.0,0.0,2.0,2,3.269533076171875,False,REGULAR,USD,put,2025-05-23
