,contractSymbol,lastTradeDate,strike,lastOptionPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration
0,TSLA250523C00050000,2025-05-21 15:30:05+00:00,50.0,295.51,283.75,285.55,-3.789978,-1.2662808,1.0,11,8.5625046484375,True,REGULAR,USD,call,2025-05-23
1,TSLA250523C00060000,2025-05-21 15:30:05+00:00,60.0,285.54,273.75,275.8,-0.5499878,-0.19224294,1.0,13,9.093754316406251,True,REGULAR,USD,call,2025-05-23
2,TSLA250523C00065000,2025-05-15 18:29:49+00:00,65.0,278.23,268.7,270.6,0.0,0.0,2.0,3,7.37500078125,True,REGULAR,USD,call,2025-05-23
3,TSLA250523C00070000,2025-05-16 13:30:05+00:00,70.0,276.1,263.75,265.8,0.0,0.0,2.0,3,8.289067319335937,True,REGULAR,USD,call,2025-05-23
4,TSLA250523C00075000,2025-05-15 18:29:49+00:00,75.0,268.25,258.7,260.6,0.0,0.0,2.0,3,6.7500015625000005,True,REGULAR,USD,call,2025-05-23
5,TSLA250523C00080000,2025-05-16 13:30:05+00:00,80.0,266.12,253.75,255.6,0.0,0.0,1.0,8,6.82812646484375,True,REGULAR,USD,call,2025-05-23
6,TSLA250523C00085000,2025-05-14 13:32:38+00:00,85.0,254.45,248.7,250.6,0.0,0.0,,1,6.187502265625,True,REGULAR,USD,call,2025-05-23
7,TSLA250523C00090000,2025-05-21 18:29:13+00:00,90.0,247.34,243.75,245.6,-5.9600067,-2.352944,2.0,6,6.2812521484375,True,REGULAR,USD,call,2025-05-23
8,TSLA250523C00095000,2025-05-21 16:30:51+00:00,95.0,251.49,238.7,240.6,28.12001,12.588983,4.0,7,5.687502890625,True,REGULAR,USD,call,2025-05-23
9,TSLA250523C00100000,2025-05-19 14:19:34+00:00,100.0,242.09,233.75,235.6,0.0,0.0,26.0,21,5.7812527734375,True,REGULAR,USD,call,2025-05-23
10,TSLA250523C00105000,2025-05-20 15:21:02+00:00,105.0,240.85,228.75,230.6,0.0,0.0,2.0,11,5.562503046874999,True,REGULAR,USD,call,2025-05-23
11,TSLA250523C00110000,2025-05-21 18:29:13+00:00,110.0,227.4,223.8,225.6,0.48999023,0.21594034,2.0,5,5.546878066406249,True,REGULAR,USD,call,2025-05-23
12,TSLA250523C00115000,2025-05-21 16:30:51+00:00,115.0,231.51,218.75,220.85,28.279999,13.915269,4.0,2,5.828127714843751,True,REGULAR,USD,call,2025-05-23
13,TSLA250523C00120000,2025-05-16 19:52:13+00:00,120.0,229.01,213.8,215.6,0.0,0.0,3.0,15,5.14062857421875,True,REGULAR,USD,call,2025-05-23
14,TSLA250523C00125000,2025-05-12 19:57:08+00:00,125.0,193.25,208.75,210.85,0.0,0.0,8.0,3,5.398440751953125,True,REGULAR,USD,call,2025-05-23
